Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"212522389","Boronia - The Basin",334,
"212522390","Boronia - The Basin",91,
"212529999","Boronia - The Basin",513,
"212532352","Ferntree Gully",361,
"212532353","Ferntree Gully",1170,
"212532354","Ferntree Gully",120,
"212532355","Ferntree Gully",283,
"212532357","Ferntree Gully",948,
"212532358","Ferntree Gully",843,
"212532359","Ferntree Gully",841,
"212532361","Ferntree Gully",420,
"212532362","Ferntree Gully",106,
"212532363","Ferntree Gully",221,
"212532364","Ferntree Gully",175,
"212532365","Ferntree Gully",739,
"212532366","Ferntree Gully",327,
"212532367","Ferntree Gully",238,
"212532368","Ferntree Gully",153,
"212539999","Ferntree Gully",561,
"212542391","Knoxfield - Scoresby",460,
"212542392","Knoxfield - Scoresby",245,
"212542393","Knoxfield - Scoresby",340,
"212542394","Knoxfield - Scoresby",941,
"212542396","Knoxfield - Scoresby",993,
"212542402","Knoxfield - Scoresby",15,
"212542412","Knoxfield - Scoresby",4098,
"212542413","Knoxfield - Scoresby",1517,
"212542414","Knoxfield - Scoresby",2293,
"212542419","Knoxfield - Scoresby",3,
"212549999","Knoxfield - Scoresby",457,
"212552415","Lysterfield",106,
"212552416","Lysterfield",151,
"212552417","Lysterfield",278,
"212562418","Rowville - Central",1223,
"212562420","Rowville - Central",307,
"212562423","Rowville - Central",191,
"212562424","Rowville - Central",1569,
"212562425","Rowville - Central",81,
"212562428","Rowville - Central",304,
"212562429","Rowville - Central",316,
"212562430","Rowville - Central",213,
"212572427","Rowville - North",2200,
"212572431","Rowville - North",334,
"212582422","Rowville - South",935,
"212582426","Rowville - South",739,
"212592406","Wantirna",2271,
"212592407","Wantirna",115,
"212592408","Wantirna",487,
"212592409","Wantirna",325,
"212592411","Wantirna",919,
"212602395","Wantirna South",134,
"212602397","Wantirna South",616,
"212602398","Wantirna South",339,
"212602399","Wantirna South",128,
"212602400","Wantirna South",175,
"212602401","Wantirna South",770,
"212602403","Wantirna South",4046,
"212602404","Wantirna South",283,
"212602405","Wantirna South",439,
"212609999","Wantirna South",756,
"212612100","Donvale - Park Orchards",109,
"212612101","Donvale - Park Orchards",91,
"212612102","Donvale - Park Orchards",275,
"212612103","Donvale - Park Orchards",135,
"212612113","Donvale - Park Orchards",202,
"212612114","Donvale - Park Orchards",78,
"212612115","Donvale - Park Orchards",70,
"212612116","Donvale - Park Orchards",105,
"212612117","Donvale - Park Orchards",415,
"212612118","Donvale - Park Orchards",249,
"212612141","Donvale - Park Orchards",180,
"212619999","Donvale - Park Orchards",43,
"212622104","Warrandyte - Wonga Park",342,
"212622105","Warrandyte - Wonga Park",149,
"212622106","Warrandyte - Wonga Park",116,
"212622107","Warrandyte - Wonga Park",223,
"212622108","Warrandyte - Wonga Park",220,
"212622109","Warrandyte - Wonga Park",160,
"212622110","Warrandyte - Wonga Park",114,
"212622111","Warrandyte - Wonga Park",324,
"212622112","Warrandyte - Wonga Park",243,
"212629999","Warrandyte - Wonga Park",132,
"212632432","Bayswater North",1514,
"212632433","Bayswater North",334,
"212632434","Bayswater North",2689,
"212632435","Bayswater North",413,
"212632437","Bayswater North",138,
"212632440","Bayswater North",3104,
"212639999","Bayswater North",134,
"212642436","Croydon",253,
"212642438","Croydon",74,
"212642441","Croydon",1754,
"212642442","Croydon",700,
"212642443","Croydon",72,
"212642444","Croydon",115,
"212642445","Croydon",241,
"212642446","Croydon",139,
"212642447","Croydon",99,
"212642448","Croydon",305,
"212642449","Croydon",429,
"212642450","Croydon",163,
"212642451","Croydon",445,
"212642452","Croydon",785,
"212642453","Croydon",299,
"212642454","Croydon",283,
"212642455","Croydon",840,
"212642456","Croydon",133,
"212642457","Croydon",230,
"212642458","Croydon",212,
"212642459","Croydon",337,
"212642460","Croydon",84,
"212642473","Croydon",251,
"212649999","Croydon",535,
"212652461","Croydon Hills - Warranwood",214,
"212652462","Croydon Hills - Warranwood",613,
"212652463","Croydon Hills - Warranwood",330,
"212652464","Croydon Hills - Warranwood",134,
"212652465","Croydon Hills - Warranwood",296,
"212652466","Croydon Hills - Warranwood",138,
"212659999","Croydon Hills - Warranwood",57,
"212662476","Ringwood",262,
"212662479","Ringwood",340,
"212662480","Ringwood",277,
"212662481","Ringwood",1006,
"212662482","Ringwood",873,
"212662483","Ringwood",453,
"212662484","Ringwood",578,
"212662485","Ringwood",301,
"212662486","Ringwood",128,
"212662487","Ringwood",213,
"212662488","Ringwood",1977,
"212662489","Ringwood",388,
"212662490","Ringwood",317,
"212662491","Ringwood",2962,
"212662492","Ringwood",494,
"212662493","Ringwood",871,
"212662494","Ringwood",426,
"212669999","Ringwood",67,
"212672439","Ringwood East",129,
"212672467","Ringwood East",275,
"212672468","Ringwood East",192,
"212672469","Ringwood East",295,
"212672470","Ringwood East",858,
"212672471","Ringwood East",194,
"212672472","Ringwood East",1471,
"212672474","Ringwood East",279,
"212672475","Ringwood East",138,
"212672477","Ringwood East",375,
"212672478","Ringwood East",375,
"212679999","Ringwood East",220,
"212682495","Ringwood North",204,
"212682496","Ringwood North",633,
"212682497","Ringwood North",298,
"212689999","Ringwood North",100,
"212692297","Forest Hill",100,
"212692299","Forest Hill",894,
"212692319","Forest Hill",84,
"212692321","Forest Hill",2132,
"212692322","Forest Hill",1389,
"212692323","Forest Hill",163,
"212692324","Forest Hill",168,
"212699999","Forest Hill",265,
"212702301","Mitcham (Vic.)",621,
"212702304","Mitcham (Vic.)",270,
"212702305","Mitcham (Vic.)",272,
"212702306","Mitcham (Vic.)",408,
"212702307","Mitcham (Vic.)",1388,
"212702308","Mitcham (Vic.)",436,
"212702309","Mitcham (Vic.)",545,
"212702310","Mitcham (Vic.)",843,
"212702311","Mitcham (Vic.)",253,
"212702312","Mitcham (Vic.)",191,
"212709999","Mitcham (Vic.)",331,
"212712314","Nunawading",1816,
"212712315","Nunawading",824,
"212712316","Nunawading",811,
"212712317","Nunawading",126,
"212712325","Nunawading",320,
"212712327","Nunawading",118,
"212712328","Nunawading",1243,
"212712329","Nunawading",368,
"212712350","Nunawading",34,
"212719999","Nunawading",213,
"212722298","Vermont",140,
"212722300","Vermont",1191,
"212722302","Vermont",440,
"212722303","Vermont",307,
"212722313","Vermont",150,
"212732293","Vermont South",410,
"212732294","Vermont South",1090,
"212732295","Vermont South",174,
"212732296","Vermont South",189,
"212739999","Vermont South",123,
"212742508","Belgrave - Selby",158,
"212742509","Belgrave - Selby",296,
"212742510","Belgrave - Selby",1241,
"212749999","Belgrave - Selby",85,
"212752520","Chirnside Park",205,
"212752536","Chirnside Park",627,
"212752550","Chirnside Park",366,
"212752551","Chirnside Park",1184,
"212752552","Chirnside Park",403,
"212759999","Chirnside Park",229,
"212762553","Healesville - Yarra Glen",450,
"212762554","Healesville - Yarra Glen",56,
"212762555","Healesville - Yarra Glen",1960,
"212762556","Healesville - Yarra Glen",129,
"212762557","Healesville - Yarra Glen",92,
"212762558","Healesville - Yarra Glen",197,
"212762559","Healesville - Yarra Glen",387,
"212769999","Healesville - Yarra Glen",213,
"212772521","Kilsyth",2185,
"212772522","Kilsyth",377,
"212772524","Kilsyth",655,
"212772527","Kilsyth",312,
"212779999","Kilsyth",25,
"212782531","Lilydale - Coldstream",151,
"212782538","Lilydale - Coldstream",1451,
"212782539","Lilydale - Coldstream",659,
"212782540","Lilydale - Coldstream",160,
"212782543","Lilydale - Coldstream",2165,
"212782544","Lilydale - Coldstream",196,
"212782545","Lilydale - Coldstream",820,
"212782546","Lilydale - Coldstream",554,
"212782547","Lilydale - Coldstream",242,
"212782548","Lilydale - Coldstream",200,
"212782549","Lilydale - Coldstream",152,
"212782566","Lilydale - Coldstream",279,
"212782568","Lilydale - Coldstream",140,
"212782569","Lilydale - Coldstream",138,
"212782570","Lilydale - Coldstream",294,
"212789999","Lilydale - Coldstream",849,
"212792560","Monbulk - Silvan",158,
"212792561","Monbulk - Silvan",200,
"212792562","Monbulk - Silvan",473,
"212792563","Monbulk - Silvan",605,
"212792572","Monbulk - Silvan",56,
"212792573","Monbulk - Silvan",404,
"212799999","Monbulk - Silvan",238,
"212802525","Montrose",308,
"212802526","Montrose",360,
"212802528","Montrose",313,
"212802542","Montrose",165,
"212809999","Montrose",162,
"212812523","Mooroolbark",1014,
"212812534","Mooroolbark",1073,
"212812535","Mooroolbark",69,
"212812537","Mooroolbark",523,
"212812541","Mooroolbark",236,
"212819999","Mooroolbark",316,
"212822513","Mount Dandenong - Olinda",50,
"212822514","Mount Dandenong - Olinda",282,
"212822515","Mount Dandenong - Olinda",108,
"212822516","Mount Dandenong - Olinda",540,
"212822517","Mount Dandenong - Olinda",120,
"212822518","Mount Dandenong - Olinda",551,
"212822519","Mount Dandenong - Olinda",70,
"212829999","Mount Dandenong - Olinda",193,
"212832529","Mount Evelyn",189,
"212832530","Mount Evelyn",898,
"212832532","Mount Evelyn",585,
"212839999","Mount Evelyn",200,
"212842511","Upwey - Tecoma",564,
"212842512","Upwey - Tecoma",640,
"212849999","Upwey - Tecoma",35,
"212852533","Wandin - Seville",53,
"212852564","Wandin - Seville",573,
"212852565","Wandin - Seville",158,
"212852567","Wandin - Seville",62,
"212852571","Wandin - Seville",286,
"212852574","Wandin - Seville",185,
"212859999","Wandin - Seville",86,
"212862498","Yarra Valley",493,
"212862499","Yarra Valley",289,
"212862500","Yarra Valley",178,
"212862501","Yarra Valley",43,
"212862502","Yarra Valley",101,
"212862503","Yarra Valley",577,
"212862504","Yarra Valley",84,
"212862505","Yarra Valley",91,
"212862506","Yarra Valley",129,
"212862507","Yarra Valley",413,
"212863731","Yarra Valley",147,
"212869999","Yarra Valley",429,
"212872949","Beaconsfield - Officer",745,
"212872950","Beaconsfield - Officer",189,
"212872951","Beaconsfield - Officer",551,
"212872952","Beaconsfield - Officer",194,
"212872953","Beaconsfield - Officer",249,
"212872973","Beaconsfield - Officer",187,
"212879999","Beaconsfield - Officer",417,
"212882927","Bunyip - Garfield",195,
"212882928","Bunyip - Garfield",144,
"212882929","Bunyip - Garfield",63,
"212882930","Bunyip - Garfield",148,
"212882943","Bunyip - Garfield",59,
"212882944","Bunyip - Garfield",199,
"212882945","Bunyip - Garfield",368,
"212882946","Bunyip - Garfield",124,
"212882947","Bunyip - Garfield",321,
"212889999","Bunyip - Garfield",250,
"212892931","Emerald - Cockatoo",98,
"212892932","Emerald - Cockatoo",248,
"212892933","Emerald - Cockatoo",156,
"212892934","Emerald - Cockatoo",93,
"212892935","Emerald - Cockatoo",142,
"212892936","Emerald - Cockatoo",163,
"212892937","Emerald - Cockatoo",124,
"212892938","Emerald - Cockatoo",191,
"212892939","Emerald - Cockatoo",514,
"212892940","Emerald - Cockatoo",156,
"212892941","Emerald - Cockatoo",160,
"212892942","Emerald - Cockatoo",243,
"212899999","Emerald - Cockatoo",356,
"212902948","Koo Wee Rup",173,
"212902974","Koo Wee Rup",337,
"212902975","Koo Wee Rup",128,
"212902976","Koo Wee Rup",170,
"212902977","Koo Wee Rup",225,
"212902978","Koo Wee Rup",592,
"212909999","Koo Wee Rup",155,
"212912954","Pakenham - North",146,
"212912956","Pakenham - North",673,
"212912961","Pakenham - North",348,
"212912962","Pakenham - North",113,
"212912963","Pakenham - North",69,
"212912964","Pakenham - North",376,
"212912969","Pakenham - North",182,
"212912970","Pakenham - North",396,
"212919999","Pakenham - North",12,
"212922955","Pakenham - South",668,
"212922957","Pakenham - South",92,
"212922958","Pakenham - South",385,
"212922959","Pakenham - South",419,
"212922960","Pakenham - South",175,
"212922965","Pakenham - South",789,
"212922966","Pakenham - South",321,
"212922967","Pakenham - South",926,
"212922968","Pakenham - South",706,
"212922971","Pakenham - South",94,
"212922972","Pakenham - South",822,
"212929999","Pakenham - South",175,
"212932981","Berwick - North",793,
"212932983","Berwick - North",517,
"212932984","Berwick - North",658,
"212932985","Berwick - North",1442,
"212932987","Berwick - North",305,
"212932988","Berwick - North",2326,
"212932989","Berwick - North",314,
"212932999","Berwick - North",353,
"212933002","Berwick - North",60,
"212939999","Berwick - North",53,
"212942979","Berwick - South",709,
"212942986","Berwick - South",584,
"212942994","Berwick - South",98,
"212943062","Berwick - South",996,
"212953032","Doveton",249,
"212953041","Doveton",926,
"212953042","Doveton",223,
"212953043","Doveton",91,
"212959999","Doveton",95,
"212963044","Endeavour Hills",357,
"212963045","Endeavour Hills",204,
"212963046","Endeavour Hills",101,
"212963047","Endeavour Hills",1009,
"212963048","Endeavour Hills",437,
"212963049","Endeavour Hills",235,
"212969999","Endeavour Hills",378,
"212973033","Hallam",55,
"212973034","Hallam",5579,
"212973035","Hallam",339,
"212973036","Hallam",492,
"212973037","Hallam",259,
"212973038","Hallam",283,
"212973040","Hallam",1156,
"212979999","Hallam",720,
"212982995","Narre Warren",1183,
"212982996","Narre Warren",361,
"212982997","Narre Warren",322,
"212982998","Narre Warren",5028,
"212983000","Narre Warren",335,
"212983001","Narre Warren",357,
"212989999","Narre Warren",978,
"212992982","Narre Warren North",39,
"212993003","Narre Warren North",61,
"212993004","Narre Warren North",233,
"212993005","Narre Warren North",184,
"212993006","Narre Warren North",259,
"212993030","Narre Warren North",76,
"212993031","Narre Warren North",86,
"212993039","Narre Warren North",96,
"212999999","Narre Warren North",72,
"213003012","Cranbourne",257,
"213003013","Cranbourne",250,
"213003014","Cranbourne",481,
"213003015","Cranbourne",452,
"213003016","Cranbourne",272,
"213003017","Cranbourne",751,
"213003018","Cranbourne",1621,
"213003019","Cranbourne",177,
"213003020","Cranbourne",495,
"213009999","Cranbourne",73,
"213013008","Cranbourne East",602,
"213013009","Cranbourne East",450,
"213013061","Cranbourne East",231,
"213019999","Cranbourne East",39,
"213023021","Cranbourne North",277,
"213023022","Cranbourne North",462,
"213023023","Cranbourne North",449,
"213029999","Cranbourne North",65,
"213033007","Cranbourne South",307,
"213033054","Cranbourne South",228,
"213033056","Cranbourne South",240,
"213033057","Cranbourne South",124,
"213033058","Cranbourne South",172,
"213033059","Cranbourne South",463,
"213039999","Cranbourne South",57,
"213043010","Cranbourne West",183,
"213043011","Cranbourne West",484,
"213049999","Cranbourne West",20,
"213053025","Hampton Park - Lynbrook",144,
"213053027","Hampton Park - Lynbrook",1150,
"213053028","Hampton Park - Lynbrook",263,
"213053029","Hampton Park - Lynbrook",271,
"213059999","Hampton Park - Lynbrook",300,
"213063024","Lynbrook - Lyndhurst",1943,
"213063026","Lynbrook - Lyndhurst",109,
"213069999","Lynbrook - Lyndhurst",103,
"213072980","Narre Warren South",184,
"213072990","Narre Warren South",806,
"213072991","Narre Warren South",138,
"213072992","Narre Warren South",325,
"213072993","Narre Warren South",262,
"213079999","Narre Warren South",122,
"213083050","Pearcedale - Tooradin",116,
"213083051","Pearcedale - Tooradin",175,
"213083052","Pearcedale - Tooradin",402,
"213083053","Pearcedale - Tooradin",307,
"213083055","Pearcedale - Tooradin",138,
"213083060","Pearcedale - Tooradin",28,
"213089999","Pearcedale - Tooradin",198,
"213092701","Clarinda - Oakleigh South",131,
"213092702","Clarinda - Oakleigh South",468,
"213092703","Clarinda - Oakleigh South",1451,
"213092760","Clarinda - Oakleigh South",37,
"213092764","Clarinda - Oakleigh South",208,
"213092765","Clarinda - Oakleigh South",406,
"213099999","Clarinda - Oakleigh South",82,
"213102766","Clayton South",279,
"213102767","Clayton South",1839,
"213102768","Clayton South",1948,
"213102769","Clayton South",889,
"213102770","Clayton South",1005,
"213109999","Clayton South",60,
"213112824","Dandenong",1566,
"213112825","Dandenong",1099,
"213112826","Dandenong",984,
"213112827","Dandenong",1791,
"213112828","Dandenong",280,
"213112829","Dandenong",288,
"213112830","Dandenong",142,
"213112831","Dandenong",2761,
"213112832","Dandenong",784,
"213112833","Dandenong",317,
"213112834","Dandenong",516,
"213112835","Dandenong",1875,
"213112836","Dandenong",672,
"213112837","Dandenong",75,
"213112844","Dandenong",328,
"213112845","Dandenong",618,
"213112846","Dandenong",1524,
"213112847","Dandenong",892,
"213112848","Dandenong",1160,
"213112849","Dandenong",2656,
"213112850","Dandenong",1269,
"213112851","Dandenong",716,
"213112852","Dandenong",3638,
"213112853","Dandenong",689,
"213112854","Dandenong",2433,
"213112855","Dandenong",410,
"213112856","Dandenong",867,
"213112857","Dandenong",521,
"213112858","Dandenong",606,
"213112870","Dandenong",2257,
"213112871","Dandenong",531,
"213112872","Dandenong",293,
"213112873","Dandenong",1971,
"213112874","Dandenong",2063,
"213112875","Dandenong",1274,
"213112876","Dandenong",435,
"213112877","Dandenong",1489,
"213112878","Dandenong",945,
"213112879","Dandenong",1050,
"213112880","Dandenong",971,
"213112881","Dandenong",1616,
"213112882","Dandenong",568,
"213112883","Dandenong",247,
"213112900","Dandenong",537,
"213112901","Dandenong",1543,
"213112903","Dandenong",313,
"213112904","Dandenong",1206,
"213119999","Dandenong",3434,
"213122861","Dandenong North",241,
"213122862","Dandenong North",276,
"213122863","Dandenong North",45,
"213122864","Dandenong North",185,
"213122865","Dandenong North",258,
"213122866","Dandenong North",139,
"213122867","Dandenong North",168,
"213122868","Dandenong North",130,
"213129999","Dandenong North",214,
"213132745","Dingley Village",88,
"213132747","Dingley Village",691,
"213132748","Dingley Village",391,
"213132749","Dingley Village",415,
"213139999","Dingley Village",289,
"213142838","Keysborough",117,
"213142839","Keysborough",147,
"213142840","Keysborough",277,
"213142841","Keysborough",1377,
"213142843","Keysborough",1085,
"213142884","Keysborough",589,
"213142885","Keysborough",1374,
"213142886","Keysborough",216,
"213142888","Keysborough",87,
"213142889","Keysborough",211,
"213142890","Keysborough",113,
"213142891","Keysborough",240,
"213142892","Keysborough",837,
"213142902","Keysborough",114,
"213149999","Keysborough",537,
"213152842","Noble Park",301,
"213152869","Noble Park",483,
"213152894","Noble Park",217,
"213152895","Noble Park",113,
"213152896","Noble Park",1019,
"213152897","Noble Park",280,
"213152898","Noble Park",91,
"213152899","Noble Park",386,
"213152907","Noble Park",63,
"213152909","Noble Park",60,
"213152919","Noble Park",34,
"213162859","Noble Park North",146,
"213162860","Noble Park North",244,
"213162893","Noble Park North",2001,
"213162925","Noble Park North",1940,
"213169999","Noble Park North",28,
"213172911","Springvale",150,
"213172912","Springvale",733,
"213172913","Springvale",814,
"213172914","Springvale",549,
"213172915","Springvale",659,
"213172916","Springvale",869,
"213172917","Springvale",1524,
"213172918","Springvale",649,
"213172920","Springvale",331,
"213172921","Springvale",500,
"213172922","Springvale",401,
"213172923","Springvale",118,
"213172924","Springvale",532,
"213172926","Springvale",106,
"213179999","Springvale",715,
"213182887","Springvale South",132,
"213182905","Springvale South",183,
"213182906","Springvale South",153,
"213182908","Springvale South",163,
"213182910","Springvale South",208,
"213189999","Springvale South",78,
"213192188","Ashwood - Chadstone",121,
"213192189","Ashwood - Chadstone",183,
"213192214","Ashwood - Chadstone",1077,
"213192215","Ashwood - Chadstone",175,
"213192250","Ashwood - Chadstone",333,
"213192251","Ashwood - Chadstone",176,
"213192252","Ashwood - Chadstone",772,
"213192253","Ashwood - Chadstone",299,
"213192254","Ashwood - Chadstone",333,
"213199999","Ashwood - Chadstone",109,
"213202161","Clayton",349,
"213202163","Clayton",33,
"213202166","Clayton",664,
"213202167","Clayton",5481,
"213202168","Clayton",440,
"213202169","Clayton",262,
"213202170","Clayton",767,
"213202171","Clayton",545,
"213202172","Clayton",6394,
"213202173","Clayton",280,
"213202174","Clayton",4119,
"213202175","Clayton",1248,
"213202176","Clayton",3107,
"213202217","Clayton",502,
"213202231","Clayton",3914,
"213202232","Clayton",347,
"213209999","Clayton",374,
"213212199","Glen Waverley - East",610,
"213212206","Glen Waverley - East",1368,
"213212207","Glen Waverley - East",687,
"213212208","Glen Waverley - East",138,
"213212209","Glen Waverley - East",372,
"213212210","Glen Waverley - East",228,
"213212211","Glen Waverley - East",226,
"213212212","Glen Waverley - East",172,
"213212213","Glen Waverley - East",248,
"213222220","Glen Waverley - West",163,
"213222221","Glen Waverley - West",146,
"213222222","Glen Waverley - West",431,
"213222223","Glen Waverley - West",333,
"213222224","Glen Waverley - West",445,
"213222225","Glen Waverley - West",2404,
"213222226","Glen Waverley - West",403,
"213222227","Glen Waverley - West",1633,
"213222228","Glen Waverley - West",727,
"213222229","Glen Waverley - West",354,
"213222230","Glen Waverley - West",189,
"213229999","Glen Waverley - West",3,
"213232237","Mount Waverley - North",373,
"213232239","Mount Waverley - North",139,
"213232240","Mount Waverley - North",167,
"213232241","Mount Waverley - North",355,
"213232248","Mount Waverley - North",507,
"213232249","Mount Waverley - North",451,
"213239999","Mount Waverley - North",14,
"213242233","Mount Waverley - South",134,
"213242234","Mount Waverley - South",198,
"213242235","Mount Waverley - South",103,
"213242236","Mount Waverley - South",196,
"213242238","Mount Waverley - South",946,
"213242242","Mount Waverley - South",7596,
"213242243","Mount Waverley - South",824,
"213242244","Mount Waverley - South",1135,
"213242245","Mount Waverley - South",243,
"213242246","Mount Waverley - South",761,
"213242247","Mount Waverley - South",321,
"213249999","Mount Waverley - South",21,
"213252190","Mulgrave",2672,
"213252191","Mulgrave",359,
"213252192","Mulgrave",440,
"213252193","Mulgrave",733,
"213252194","Mulgrave",2138,
"213252195","Mulgrave",306,
"213252196","Mulgrave",498,
"213252216","Mulgrave",4083,
"213252218","Mulgrave",415,
"213252219","Mulgrave",5742,
"213259999","Mulgrave",1354,
"213262158","Oakleigh - Huntingdale",338,
"213262159","Oakleigh - Huntingdale",236,
"213262160","Oakleigh - Huntingdale",424,
"213262162","Oakleigh - Huntingdale",472,
"213262164","Oakleigh - Huntingdale",509,
"213262165","Oakleigh - Huntingdale",171,
"213262177","Oakleigh - Huntingdale",1239,
"213262178","Oakleigh - Huntingdale",335,
"213262179","Oakleigh - Huntingdale",763,
"213262180","Oakleigh - Huntingdale",1589,
"213262181","Oakleigh - Huntingdale",1387,
"213262182","Oakleigh - Huntingdale",1365,
"213262183","Oakleigh - Huntingdale",167,
"213269999","Oakleigh - Huntingdale",67,
"213272197","Wheelers Hill",1104,
"213272198","Wheelers Hill",160,
"213272200","Wheelers Hill",170,
"213272201","Wheelers Hill",171,
"213272202","Wheelers Hill",276,
"213272203","Wheelers Hill",652,
"213272204","Wheelers Hill",205,
"213272205","Wheelers Hill",403,
"213279999","Wheelers Hill",241,
"213281352","Ardeer - Albion",160,
"213281354","Ardeer - Albion",524,
"213281355","Ardeer - Albion",200,
"213281373","Ardeer - Albion",352,
"213289999","Ardeer - Albion",25,
"213291371","Cairnlea",544,
"213301343","Deer Park - Derrimut",4159,
"213301344","Deer Park - Derrimut",1116,
"213301346","Deer Park - Derrimut",699,
"213301356","Deer Park - Derrimut",294,
"213301357","Deer Park - Derrimut",212,
"213301358","Deer Park - Derrimut",926,
"213301359","Deer Park - Derrimut",226,
"213301360","Deer Park - Derrimut",371,
"213309999","Deer Park - Derrimut",367,
"213311311","Delahey",334,
"213311312","Delahey",164,
"213319999","Delahey",150,
"213321295","Keilor Downs",352,
"213321306","Keilor Downs",268,
"213321307","Keilor Downs",497,
"213321308","Keilor Downs",401,
"213329999","Keilor Downs",132,
"213331304","Kings Park (Vic.)",164,
"213331305","Kings Park (Vic.)",222,
"213331370","Kings Park (Vic.)",163,
"213339999","Kings Park (Vic.)",27,
"213341296","St Albans - North",118,
"213341297","St Albans - North",126,
"213341298","St Albans - North",302,
"213341299","St Albans - North",150,
"213341300","St Albans - North",530,
"213341301","St Albans - North",284,
"213341302","St Albans - North",214,
"213341303","St Albans - North",250,
"213351329","St Albans - South",323,
"213351330","St Albans - South",344,
"213351331","St Albans - South",189,
"213351332","St Albans - South",2110,
"213351353","St Albans - South",256,
"213351372","St Albans - South",864,
"213359999","St Albans - South",11,
"213361337","Sunshine",723,
"213361338","Sunshine",2637,
"213361339","Sunshine",977,
"213361340","Sunshine",364,
"213361341","Sunshine",635,
"213361342","Sunshine",148,
"213369999","Sunshine",3,
"213371361","Sunshine North",493,
"213371362","Sunshine North",573,
"213371363","Sunshine North",117,
"213371364","Sunshine North",192,
"213371365","Sunshine North",288,
"213371366","Sunshine North",217,
"213371367","Sunshine North",651,
"213371368","Sunshine North",788,
"213371369","Sunshine North",194,
"213379999","Sunshine North",116,
"213381333","Sunshine West",924,
"213381334","Sunshine West",401,
"213381335","Sunshine West",340,
"213381336","Sunshine West",83,
"213381345","Sunshine West",180,
"213381347","Sunshine West",2019,
"213381348","Sunshine West",190,
"213381349","Sunshine West",356,
"213381350","Sunshine West",309,
"213381351","Sunshine West",2370,
"213389999","Sunshine West",177,
"213391313","Sydenham",238,
"213391324","Sydenham",743,
"213391325","Sydenham",195,
"213399999","Sydenham",230,
"213401319","Taylors Lakes",348,
"213401320","Taylors Lakes",1919,
"213401321","Taylors Lakes",426,
"213401322","Taylors Lakes",525,
"213401323","Taylors Lakes",138,
"213401327","Taylors Lakes",217,
"213401328","Taylors Lakes",254,
"213409999","Taylors Lakes",519,
"213411382","Altona",1222,
"213411383","Altona",1345,
"213411384","Altona",361,
"213411385","Altona",272,
"213411386","Altona",217,
"213411387","Altona",126,
"213411388","Altona",571,
"213411389","Altona",510,
"213411391","Altona",180,
"213419999","Altona",20,
"213421377","Altona Meadows",784,
"213421379","Altona Meadows",212,
"213421380","Altona Meadows",499,
"213429999","Altona Meadows",119,
"213431374","Altona North",93,
"213431375","Altona North",1381,
"213431390","Altona North",360,
"213431392","Altona North",1440,
"213431393","Altona North",1239,
"213431394","Altona North",4144,
"213431395","Altona North",732,
"213431396","Altona North",860,
"213431397","Altona North",612,
"213431398","Altona North",137,
"213431399","Altona North",369,
"213431400","Altona North",210,
"213431401","Altona North",350,
"213431402","Altona North",828,
"213439999","Altona North",397,
"213441413","Newport",109,
"213441414","Newport",478,
"213441415","Newport",169,
"213441417","Newport",511,
"213441418","Newport",197,
"213441419","Newport",284,
"213441420","Newport",140,
"213441421","Newport",192,
"213441422","Newport",997,
"213441423","Newport",81,
"213441424","Newport",180,
"213449999","Newport",392,
"213451376","Seabrook",249,
"213461403","Williamstown",1123,
"213461404","Williamstown",216,
"213461405","Williamstown",373,
"213461406","Williamstown",378,
"213461407","Williamstown",387,
"213461408","Williamstown",190,
"213461409","Williamstown",187,
"213461410","Williamstown",1268,
"213461411","Williamstown",682,
"213461412","Williamstown",1281,
"213461416","Williamstown",175,
"213469999","Williamstown",411,
"213471467","Braybrook",557,
"213471468","Braybrook",542,
"213471469","Braybrook",519,
"213471470","Braybrook",898,
"213471471","Braybrook",326,
"213471472","Braybrook",502,
"213471474","Braybrook",311,
"213479999","Braybrook",400,
"213481443","Footscray",447,
"213481445","Footscray",281,
"213481446","Footscray",2871,
"213481447","Footscray",180,
"213481448","Footscray",1500,
"213481449","Footscray",316,
"213481450","Footscray",217,
"213481452","Footscray",46,
"213481453","Footscray",710,
"213481454","Footscray",944,
"213481455","Footscray",1536,
"213481456","Footscray",393,
"213481457","Footscray",114,
"213481458","Footscray",1328,
"213481459","Footscray",1198,
"213489999","Footscray",107,
"213491444","Maribyrnong",142,
"213491451","Maribyrnong",124,
"213491473","Maribyrnong",74,
"213491475","Maribyrnong",601,
"213491476","Maribyrnong",154,
"213491477","Maribyrnong",11,
"213491478","Maribyrnong",2875,
"213491479","Maribyrnong",164,
"213499999","Maribyrnong",407,
"213501434","Seddon - Kingsville",165,
"213501436","Seddon - Kingsville",569,
"213501437","Seddon - Kingsville",467,
"213501438","Seddon - Kingsville",28,
"213509999","Seddon - Kingsville",33,
"213511440","West Footscray - Tottenham",700,
"213511441","West Footscray - Tottenham",643,
"213511442","West Footscray - Tottenham",256,
"213511460","West Footscray - Tottenham",254,
